side,solve_index,iteration,relative_residual,residual_kind,wall_seconds,iterations_total,average_milliseconds_per_outer_iteration,cycle_iteration,diagnostic_elapsed_seconds
pyqcu,0,0,1.0,initial_true_residual,2.0213655279949307,11,183.7605025449937,,
pyqcu,0,1,0.0936507061123848,arnoldi_estimate,2.0213655279949307,11,183.7605025449937,1,0.186255172
pyqcu,0,2,0.016313400119543076,arnoldi_estimate,2.0213655279949307,11,183.7605025449937,2,0.350750814
pyqcu,0,3,0.0028122286312282085,arnoldi_estimate,2.0213655279949307,11,183.7605025449937,3,0.511934083
pyqcu,0,4,0.0006457340787164867,arnoldi_estimate,2.0213655279949307,11,183.7605025449937,4,0.684434384
pyqcu,0,5,0.00021028987248428166,arnoldi_estimate,2.0213655279949307,11,183.7605025449937,1,0.867067827
pyqcu,0,6,6.252613820834085e-05,arnoldi_estimate,2.0213655279949307,11,183.7605025449937,2,1.051511564
pyqcu,0,7,2.197577487095259e-05,arnoldi_estimate,2.0213655279949307,11,183.7605025449937,3,1.236473328
pyqcu,0,8,7.483036824851297e-06,arnoldi_estimate,2.0213655279949307,11,183.7605025449937,4,1.415065159
pyqcu,0,9,3.2432135412818752e-06,arnoldi_estimate,2.0213655279949307,11,183.7605025449937,1,1.632320811
pyqcu,0,10,1.2322429938649293e-06,arnoldi_estimate,2.0213655279949307,11,183.7605025449937,2,1.829130094
pyqcu,0,11,4.0650434129929636e-07,arnoldi_estimate,2.0213655279949307,11,183.7605025449937,3,2.018859907
pyqcu,1,0,1.0,initial_true_residual,2.110346423985902,11,191.8496749078093,,
pyqcu,1,1,0.0936507061123848,arnoldi_estimate,2.110346423985902,11,191.8496749078093,1,0.1875687
pyqcu,1,2,0.016313400119543076,arnoldi_estimate,2.110346423985902,11,191.8496749078093,2,0.350814529
pyqcu,1,3,0.0028122286312282085,arnoldi_estimate,2.110346423985902,11,191.8496749078093,3,0.515657442
pyqcu,1,4,0.0006457340787164867,arnoldi_estimate,2.110346423985902,11,191.8496749078093,4,0.688847891
pyqcu,1,5,0.00021028987248428166,arnoldi_estimate,2.110346423985902,11,191.8496749078093,1,0.871304624
pyqcu,1,6,6.252613820834085e-05,arnoldi_estimate,2.110346423985902,11,191.8496749078093,2,1.059399052
pyqcu,1,7,2.197577487095259e-05,arnoldi_estimate,2.110346423985902,11,191.8496749078093,3,1.252775856
pyqcu,1,8,7.483036824851297e-06,arnoldi_estimate,2.110346423985902,11,191.8496749078093,4,1.432243633
pyqcu,1,9,3.2432135412818752e-06,arnoldi_estimate,2.110346423985902,11,191.8496749078093,1,1.651494289
pyqcu,1,10,1.2322429938649293e-06,arnoldi_estimate,2.110346423985902,11,191.8496749078093,2,1.835597608
pyqcu,1,11,4.0650434129929636e-07,arnoldi_estimate,2.110346423985902,11,191.8496749078093,3,2.020753382
pyqcu,2,0,1.0,initial_true_residual,2.0151909020059975,11,183.19917290963613,,
pyqcu,2,1,0.0936507061123848,arnoldi_estimate,2.0151909020059975,11,183.19917290963613,1,0.175036345
pyqcu,2,2,0.016313400119543076,arnoldi_estimate,2.0151909020059975,11,183.19917290963613,2,0.335431726
