side,solve_index,outer_iteration,level,name,seconds,trace_elapsed_seconds
pyqcu,0,1,0,fine_pre_smoother,0.003215976,0.006517756
pyqcu,0,1,0,fine_restriction,0.003324582,0.010099452
pyqcu,0,1,1,level_prepare,0.003252978,0.013593343
pyqcu,0,1,1,coarsest_bicgstab,0.149178555,0.162997711
pyqcu,0,1,1,level_reconstruct,0.002935561,0.166047078
pyqcu,0,1,1,coarse_vcycle,0.155898323,0.166231388
pyqcu,0,1,0,fine_prolongation,0.002722249,0.168961937
pyqcu,0,1,0,fine_correction_residual,0.002646745,0.171801692
pyqcu,0,1,0,fine_post_smoother,0.003082969,0.17505357
pyqcu,0,1,0,fine_matpc,0.002898358,0.17816584
pyqcu,0,1,0,arnoldi,0.001079459,0.179428809
pyqcu,0,1,0,outer_iteration,0.176388343,0.179572317
pyqcu,0,2,0,fine_pre_smoother,0.003311381,0.182898299
pyqcu,0,2,0,fine_restriction,0.003359784,0.186524997
pyqcu,0,2,1,level_prepare,0.00330098,0.190110693
pyqcu,0,2,1,coarsest_bicgstab,0.136065139,0.326390644
pyqcu,0,2,1,level_reconstruct,0.00291776,0.32942531
pyqcu,0,2,1,coarse_vcycle,0.142837209,0.329640122
pyqcu,0,2,0,fine_prolongation,0.002723749,0.332372771
pyqcu,0,2,0,fine_correction_residual,0.002636044,0.335235728
pyqcu,0,2,0,fine_post_smoother,0.003077169,0.338537608
pyqcu,0,2,0,fine_matpc,0.002472235,0.341250156
pyqcu,0,2,0,arnoldi,0.001132162,0.342587629
pyqcu,0,2,0,outer_iteration,0.163186521,0.342770639
pyqcu,0,3,0,fine_pre_smoother,0.003250478,0.346034818
pyqcu,0,3,0,fine_restriction,0.003310881,0.349558111
pyqcu,0,3,1,level_prepare,0.003242177,0.3530163
pyqcu,0,3,1,coarsest_bicgstab,0.138595977,0.491822888
pyqcu,0,3,1,level_reconstruct,0.002937861,0.494879055
pyqcu,0,3,1,coarse_vcycle,0.145379448,0.49514997
pyqcu,0,3,0,fine_prolongation,0.002727849,0.49788662
pyqcu,0,3,0,fine_correction_residual,0.002638044,0.500749276
pyqcu,0,3,0,fine_post_smoother,0.003181674,0.50410296
pyqcu,0,3,0,fine_matpc,0.002475236,0.506812308
pyqcu,0,3,0,arnoldi,0.001336773,0.508359792
pyqcu,0,3,0,outer_iteration,0.165688058,0.508470498
pyqcu,0,4,0,fine_pre_smoother,0.003244677,0.511727276
pyqcu,0,4,0,fine_restriction,0.00330148,0.515188366
pyqcu,0,4,1,level_prepare,0.003271579,0.518705758
pyqcu,0,4,1,coarsest_bicgstab,0.148042793,0.667029967
pyqcu,0,4,1,level_reconstruct,0.002941161,0.670164438
pyqcu,0,4,1,coarse_vcycle,0.154964172,0.670396451
pyqcu,0,4,0,fine_prolongation,0.002726349,0.673132801
pyqcu,0,4,0,fine_correction_residual,0.002636644,0.676005958
pyqcu,0,4,0,fine_post_smoother,0.003136572,0.679363841
pyqcu,0,4,0,fine_matpc,0.002478736,0.682065789
pyqcu,0,4,0,arnoldi,0.001487581,0.683755481
pyqcu,0,4,0,outer_iteration,0.175452392,0.683933391
pyqcu,0,4,0,fgmres_solution_update,0.000674737,0.684620029
pyqcu,0,4,0,true_residual_refresh,0.003140872,0.687976112
pyqcu,0,5,0,fine_pre_smoother,0.00329188,0.691694615
pyqcu,0,5,0,fine_restriction,0.003305081,0.695215408
pyqcu,0,5,1,level_prepare,0.003282279,0.698700398
pyqcu,0,5,1,coarsest_bicgstab,0.157980137,0.856892947
pyqcu,0,5,1,level_reconstruct,0.002937661,0.859955214
pyqcu,0,5,1,coarse_vcycle,0.164769008,0.860184127
pyqcu,0,5,0,fine_prolongation,0.002724449,0.862916976
pyqcu,0,5,0,fine_correction_residual,0.002661645,0.865755131
pyqcu,0,5,0,fine_post_smoother,0.003124271,0.869124416
pyqcu,0,5,0,fine_matpc,0.002468835,0.871724258
pyqcu,0,5,0,arnoldi,0.00311577,0.87505574
pyqcu,0,5,0,outer_iteration,0.18768206,0.875913487
pyqcu,0,6,0,fine_pre_smoother,0.003367884,0.879296372
pyqcu,0,6,0,fine_restriction,0.003331282,0.882801163
pyqcu,0,6,1,level_prepare,0.003250677,0.886264353
pyqcu,0,6,1,coarsest_bicgstab,0.164486892,1.050971757
pyqcu,0,6,1,level_reconstruct,0.002974862,1.054107829
pyqcu,0,6,1,coarse_vcycle,0.171295265,1.054301439
pyqcu,0,6,0,fine_prolongation,0.002723048,1.057033589
pyqcu,0,6,0,fine_correction_residual,0.002645944,1.059924747
pyqcu,0,6,0,fine_post_smoother,0.003142772,1.063320032
pyqcu,0,6,0,fine_matpc,0.002488936,1.06602518
pyqcu,0,6,0,arnoldi,0.001299371,1.067518062
pyqcu,0,6,0,outer_iteration,0.191753984,1.067679671
pyqcu,0,7,0,fine_pre_smoother,0.003274579,1.070967951
pyqcu,0,7,0,fine_restriction,0.003304581,1.074487143
pyqcu,0,7,1,level_prepare,0.003765106,1.078504963
pyqcu,0,7,1,coarsest_bicgstab,0.161199213,1.239917287
pyqcu,0,7,1,level_reconstruct,0.002910459,1.242950453
pyqcu,0,7,1,coarse_vcycle,0.168406107,1.243142463
pyqcu,0,7,0,fine_prolongation,0.002723249,1.245874213
pyqcu,0,7,0,fine_correction_residual,0.002633644,1.248689367
pyqcu,0,7,0,fine_post_smoother,0.003533693,1.252396169
pyqcu,0,7,0,fine_matpc,0.002477635,1.255129019
pyqcu,0,7,0,arnoldi,0.001348674,1.256707805
pyqcu,0,7,0,outer_iteration,0.189169542,1.256892315
pyqcu,0,8,0,fine_pre_smoother,0.003269878,1.260178295
pyqcu,0,8,0,fine_restriction,0.003305781,1.263714688
pyqcu,0,8,1,level_prepare,0.003241377,1.26723178
pyqcu,0,8,1,coarsest_bicgstab,0.153574796,1.421064991
pyqcu,0,8,1,level_reconstruct,0.00292806,1.424109757
